Label, F1,F2, F3, F4, F5, F6, F7, F8, F9, F10, F11, F12, F13
a,-0.780868809,-0.624695048,78.10249676,0.876058051,42,0,1,198.936891,2.480549485,11.12411336,13.89076201,1.42578125,625
a,-0.554700196,-0.832050294,89.10667764,0.76952648,34.17601498,0.351123442,0.936329178,213.9865482,3.605240263,12.77929414,14.01960507,0.89453125,890
a,-0.832050294,-0.554700196,102.4158191,0.944871533,81.32035416,0.28283202,0.959169458,214.09694,10.21017612,15.10253015,12.15086123,4.124444444,922
a,-1,0,79.0253124,0.668812158,42.95346319,0.209529089,0.977802414,191.6844325,2.35619449,10.19970502,11.83586026,0.791111111,735
a,-0.447213595,-0.894427191,120.9173271,0.79124605,88.10221337,0.442667653,0.896685758,326.7029652,10.99557429,17.61957969,16.80564579,2.1015625,969
a,-0.980580676,-0.196116135,106.8877916,0.739073713,70.34202158,0.25589256,0.966705228,274.077224,2.35619449,10.81162161,12.50886537,2.55078125,703
a,-0.948683298,-0.316227766,114.9782588,0.871603737,80.00624976,0.012499024,0.999921884,292.3785505,2.677945045,9.79873897,11.92938255,1.284444444,875
a,-0.6401844,-0.76822128,97.08243919,0.968508981,51.03920062,0.039185567,0.999231951,256.9353571,2.718738727,10.33362038,12.2998487,1.75390625,703
a,-0.832050294,-0.554700196,83.60023923,0.641108769,44.91102315,0.200396236,0.979714932,214.8480893,2.35619449,13.35321121,14.60791502,0.8515625,875
a,0,-1,85.79627032,0.859641615,46.38965402,0.129339184,0.991600411,212.5710967,4.71238898,14.44184196,15.87061058,0.897777778,859
a,-0.857492926,-0.514495755,113.1724348,0.76040337,48.27007354,0.227884467,0.973688179,283.1716855,2.279422599,9.105474606,11.95559684,1.7578125,828
a,-0.9701425,-0.242535625,111.8033989,0.823354609,74.33034374,0.188348382,0.982102279,301.8726596,1.570796327,11.0290442,12.31854207,1.89453125,688
a,-0.8,-0.6,104.8045801,0.839399664,70.34912935,0.099503719,0.99503719,272.0498845,8.639379797,10.34293272,7.152687802,1.457777778,812
a,-0.857492926,-0.514495755,122.2865487,0.889669775,83.02409289,-0.024089393,0.999709808,310.2115262,2.819842099,9.835578533,12.01871454,1.284444444,703
a,-0.832050294,-0.554700196,95.48298278,0.807616729,58,0,1,247.0095843,5.497787144,16.96173494,26.73426234,1.45703125,797
a,-0.447213595,-0.894427191,118.0889495,0.791386116,46.57252409,0.257662651,0.96623494,319.9024969,9.366022138,10.87267529,7.285372264,1.457777778,781
a,-0.894427191,-0.447213595,80.62257748,0.802940223,55.36244214,0.343192953,0.939264924,229.3050877,8.497482743,13.55442207,7.955922515,0.804444444,844
a,0,-1,113.3710721,0.526804608,39.3192065,0.991881665,0.127164316,305.906098,13.57856763,19.1019531,16.07500305,1.73828125,1015
a,-0.514495755,-0.857492926,147.4347313,0.665207333,36.79673899,0.733760674,0.679408031,425.508388,11.62437057,14.75407845,7.549978915,1.871111111,954
a,-0.6401844,-0.76822128,177.5978603,0.821239382,61.74139616,0.421111306,0.907008968,498.5430631,10.21017612,11.46399862,3.803258158,3.30078125,953
b,0,1,105.1094667,1.200890259,94.08506789,0.042514717,0.999095841,229.8958825,-3.141592654,12.64160393,16.06480764,1,937
b,0,1,115,0.927295218,87.09190548,0.045928493,0.99894473,290.9171471,-1.570796327,9.730917509,11.92036367,2.577777778,813
b,0,1,126.2695529,1.057544054,106.7333125,0.224859507,0.974391196,254.55471,-3.141592654,12.18471662,13.97001095,2.20703125,765
b,0,1,98.8382517,1.098099191,87.09190548,-0.045928493,0.99894473,228.4062359,-3.141592654,15.46851247,18.24852135,1.777777778,907
b,0,1,97.09788875,1.005646887,77.1038261,0.0518781,0.998653425,227.1681748,-3.141592654,11.93825297,14.89739708,1.26953125,813
